VendorStockCode,RRPEx,DealerEx
9155902C,71.0,69.0
9155902,79.0,77.0
9155903,98.0,95.0
9155905,143.0,138.0
9155906,71.0,69.0
9155907,63.0,62.0
9155908,63.0,62.0
9155909,55.0,54.0
9155910,71.0,69.0
9155911,87.0,84.0
9155913,111.0,107.0
9151901,48.0,46.0
9151902,103.0,100.0
9151903,25.0,25.0
9151904,241.0,233.0
9151906,40.0,38.0
9151915,35.0,33.0
9151916,48.0,46.0
9151917,48.0,46.0
9151918,55.0,54.0
9151919,63.0,62.0
PS24 480W,506.0,473.0
128GB10P,1569.0,1448.0
M7104,506.0,473.0
P7304,743.0,686.0
P5655-E,3010.0,2811.0
01686-001,141.0,132.0
01687-001,94.0,87.0
01690-001,474.0,443.0
P13 EXT A,78.0,73.0
01693-001,78.0,73.0
914423E,168.0,163.0
91378401,617.0,569.0
91378401WH,617.0,569.0
91378800,44.0,43.0
01706-001,78.0,73.0
01714-001,16.0,14.0
01717-001,62.0,57.0
01726-001,426.0,398.0
01727-001,712.0,664.0
9151031S,502.0,486.0
9151907,101.0,99.0
9151908,49.0,48.0
9151909,35.0,33.0
9151910,214.0,207.0
9151911,152.0,147.0
9151912,185.0,179.0
9151913,157.0,152.0
9151914,198.0,191.0
91378363,506.0,467.0
TM3101,78.0,73.0
01743-001,62.0,57.0
01748-001,62.0,57.0
Q6075,4547.0,4195.0
Q6075-E-NM,5149.0,4752.0
01757-001,141.0,132.0
01760-001,94.0,87.0
TA8201,204.0,190.0
TA8601,141.0,132.0
TA8801,62.0,57.0
01765-001,109.0,102.0
Q9216-SLV,1964.0,1833.0
Q9216-SLV WHT,1964.0,1833.0
01771-001,141.0,132.0
01774-001,109.0,102.0
01775-001,125.0,117.0
01779-001,204.0,190.0
TP3101,94.0,87.0
01785-001,46.0,43.0
P8815-2-WHT,1361.0,1271.0
01793-001,78.0,73.0
01798-001,78.0,73.0
01799-001,141.0,132.0
01801-001,157.0,146.0
01802-001,30.0,29.0
01804-001,62.0,57.0
01805-001,62.0,57.0
P1377,1266.0,1182.0
P1377-BB,1187.0,1108.0
P1377-LEBB,1631.0,1523.0
01812-001,173.0,161.0
01814-001,157.0,146.0
01817-001,252.0,236.0
01818-001,173.0,161.0
01820-001,173.0,161.0
01843-001,252.0,236.0
01844-001,506.0,473.0
01845-001,506.0,473.0
01846-001,426.0,398.0
01849-001,1029.0,961.0
TM3201,78.0,73.0
01857-001,854.0,798.0
4TBHDD-AXIS,506.0,467.0
01859-001,727.0,672.0
9153901,70.0,68.0
9153902,38.0,37.0
9153903,74.0,72.0
9153904,67.0,64.0
9153905,70.0,68.0
9153906,68.0,65.0
9153908,44.0,43.0
9152901,363.0,352.0
9152902,63.0,62.0
9152903,71.0,69.0
9152904,25.0,25.0
9151905,149.0,144.0
01917-001,78.0,73.0
P3935-LR,1029.0,949.0
P3935-LR10P,10285.0,9489.0
P3925-R,949.0,876.0
P3925-R10P,9492.0,8759.0
01923-001,141.0,132.0
01928-001,27735.0,25592.0
01930-001,331.0,310.0
P3935-LRM12,1029.0,949.0
P3935-LRM1210P,10285.0,9489.0
P3925-RM12,949.0,876.0
P3925-RM1210P,9492.0,8759.0
91378501,773.0,749.0
91378501WH,854.0,788.0
9155072,65.0,63.0
01944-001,426.0,398.0
01951-001,94.0,87.0
TW1200,347.0,324.0
01960-001,125.0,117.0
01961-001,125.0,117.0
TA8501,24.0,23.0
01963-001,62.0,57.0
W800,3010.0,2778.0
V5925,3549.0,3274.0
01971-001,173.0,161.0
01972-001,94.0,87.0
Q6074-E-NM,4309.0,3976.0
9155198SET,282.0,273.0
9151198SET,209.0,202.0
Q6010-E,2648.0,1640.0
I8016-LVE,1900.0,1774.0
01996-001,204.0,190.0
01BAG-K32800WW,299.95,72.0
01BAG-K32810AP,349.95,189.0
01BAG-K33603AP,500.0,289.0
01BAG-K34040WW,250.0,115.0
01BAG-K35201AP,799.95,459.0
01BAG-K35232AP,699.0,379.0
01BAG-PSY25A-014002,1650.0,1139.0
01BLENDER-49U950A-W,2999.0,1878.0
01BT-27BA65QB-B,599.0,389.0
01DOCK-PSY25A-014002,1650.0,1129.0
01DOCK-PSY25A-015002,1399.0,1019.0
01DOCK-PSY25A-01K002,1790.0,1319.0
01DOCK-PSY29A-03J003,1599.0,1159.0
01DOCK-PSY29A-03K003,1499.0,1139.0
01DOCK-PSY29A-04N003,1899.0,1379.0
01MONITOR-PDA62A-009002,2600.0,2389.0
01MONITOR-PDA62A-00C002,3200.0,2799.0
01MONITOR-PNM1BA-093004,2130.0,1880.0
01MONITOR-PNM2BA-003002,2000.0,1815.0
01MONITOR-PPE20A-002002,2290.0,2019.0
01MONITOR-PQU10A-02T001,3200.0,1349.0
01MONITOR-PZA31A-005001,2100.0,1749.0
01MONITOR-PZA31A-00J001,2340.0,1929.0
01MONITOR-PZA41A-00F002,2330.0,1999.0
01PL041,195.0,89.0
01POWER-PNL11A-120001,2299.0,1749.0
01POWER-PNL21A-003002,1810.0,1589.0
01POWER-PNL21A-00K002,1950.0,1829.0
01POWER-PNL21A-00S002,2300.0,1899.0
01POWER-PNM11A-0NQ002,1730.0,1529.0
01POWER-PNM21A-003002,1760.0,1589.0
01POWER-PNM21A-00K002,1900.0,1729.0
01POWER-PNM21A-00N002,2080.0,1969.0
01PROMO-24BA550-B,269.0,182.0
01PROMO-27BA45QB-B,499.0,285.0
01PROMO-27BA45U-B,479.0,299.0
01PROMO-27U731SA-W,599.0,369.0
01PROMO-32U721SA-W,719.0,440.0
